id_animal,fazenda,raca,categoria,idade_anos,ecc,dpp,peso_kg,touro,protocolo,thi,resultado_prenhez,perda_gestacional,custo_protocolo,custo_manutencao_dia,custo_nutricional,valor_bezerro,dias_abertos,receita_esperada,custo_manutencao_total,custo_total,margem_bruta,roi
BOV-00001,Fazenda Boa Vista,Nelore,Novilha,2.0,6.8,0,355,Touro_L,IATF + Repasse,60.6,0,0,60,5.8,291.87,2158,365,0,2117.0,2468.87,-2468.87,-100.0
BOV-00002,Fazenda Nova Aliança,Senepol,Primípara,4.4,5.1,78,455,Touro_A,TE,70.0,1,0,180,10.54,385.37,2647,78,2647,822.1199999999999,1387.4899999999998,1259.5100000000002,90.77614973801616
BOV-00003,Fazenda Esperança,Brangus,Novilha,2.4,5.0,0,361,Touro_A,IATF,83.8,0,0,45,8.53,322.01,2447,365,0,3113.45,3480.46,-3480.46,-100.0
BOV-00004,Fazenda São José,Brangus,Novilha,2.7,6.1,0,478,Touro_B,Monta Natural,70.0,0,0,15,6.61,564.84,3180,365,0,2412.65,2992.4900000000002,-2992.4900000000002,-100.0
BOV-00005,Fazenda Santa Helena,Senepol,Multípara,6.1,5.8,73,518,Touro_F,IATF + Repasse,70.2,1,0,60,8.78,491.06,2435,73,2435,640.9399999999999,1192.0,1243.0,104.2785234899329
BOV-00006,Fazenda Santa Helena,Nelore,Novilha,1.8,6.6,0,393,Touro_A,Monta Natural,69.1,1,0,15,9.57,548.1,2193,0,2193,0.0,563.1,1629.9,289.45125199786895
BOV-00007,Fazenda Santa Helena,Hereford,Primípara,4.1,6.4,87,465,Touro_G,IATF,75.7,0,0,45,8.54,380.86,2646,365,0,3117.1,3542.96,-3542.96,-100.0
BOV-00008,Fazenda Nova Aliança,Angus,Multípara,9.5,5.4,68,560,Touro_K,IATF + Repasse,78.4,1,0,60,8.38,706.52,2795,68,2795,569.84,1336.3600000000001,1458.6399999999999,109.15022898021489
BOV-00009,Fazenda São José,Hereford,Multípara,9.4,8.0,64,458,Touro_L,Monta Natural,68.1,1,0,15,8.96,395.1,2537,64,2537,573.44,983.5400000000001,1553.46,157.9457876649653
BOV-00010,Fazenda Esperança,Nelore,Novilha,2.3,4.6,0,307,Touro_D,TE,63.0,1,0,180,7.04,436.94,2563,0,2563,0.0,616.94,1946.06,315.43748176483933
BOV-00011,Fazenda Santa Helena,Senepol,Multípara,8.5,6.0,106,419,Touro_G,IATF,70.0,1,0,45,7.24,347.27,2906,106,2906,767.44,1159.71,1746.29,150.57988635089805
BOV-00012,Fazenda Nova Aliança,Nelore,Multípara,9.9,4.5,30,380,Touro_D,IATF + Repasse,68.9,1,0,60,7.59,342.05,2375,30,2375,227.7,629.75,1745.25,277.13378324732037
BOV-00013,Fazenda Esperança,Nelore,Novilha,1.9,4.5,0,345,Touro_K,IATF,70.7,0,0,45,5.15,343.06,2205,365,0,1879.7500000000002,2267.8100000000004,-2267.8100000000004,-100.0
BOV-00014,Fazenda Santa Helena,Brangus,Primípara,3.2,4.8,103,442,Touro_D,IATF,79.2,0,0,45,10.29,384.73,2458,365,0,3755.85,4185.58,-4185.58,-100.0
BOV-00015,Fazenda Santa Helena,Nelore,Multípara,11.0,3.8,52,428,Touro_D,Monta Natural,65.9,1,0,15,8.52,615.49,2062,52,2062,443.03999999999996,1073.53,988.47,92.0766070813112
BOV-00016,Fazenda Santa Helena,Brangus,Multípara,6.5,5.3,74,460,Touro_J,Monta Natural,74.5,1,0,15,7.21,410.62,3261,74,3261,533.54,959.16,2301.84,239.9849868635056
BOV-00017,Fazenda Boa Vista,Angus,Multípara,8.4,5.5,51,485,Touro_L,Monta Natural,74.6,1,0,15,7.04,416.18,2692,51,2692,359.04,790.22,1901.78,240.66462504112778
BOV-00018,Fazenda São José,Brangus,Novilha,2.6,6.9,0,449,Touro_J,IATF + Repasse,75.0,1,0,60,10.27,378.01,2031,0,2031,0.0,438.01,1592.99,363.68804365197144
BOV-00019,Fazenda Boa Vista,Nelore,Primípara,4.5,3.5,55,415,Touro_H,IATF + Repasse,76.2,1,0,60,7.69,566.14,2670,55,2670,422.95000000000005,1049.0900000000001,1620.9099999999999,154.50628640059477
BOV-00020,Fazenda Boa Vista,Nelore,Multípara,7.5,6.6,72,457,Touro_B,IATF,60.7,1,0,45,5.96,573.5,1750,72,1750,429.12,1047.62,702.3800000000001,67.04530268608848
BOV-00021,Fazenda São José,Nelore,Novilha,2.1,6.1,0,348,Touro_H,Monta Natural,75.6,1,0,15,8.64,462.78,1874,0,1874,0.0,477.78,1396.22,292.23073381054047
BOV-00022,Fazenda Santa Helena,Angus,Primípara,4.2,6.0,90,385,Touro_J,Monta Natural,71.9,1,0,15,9.37,497.98,2773,90,2773,843.3,1356.28,1416.72,104.45630695726547
BOV-00023,Fazenda Boa Vista,Nelore,Multípara,10.4,5.0,71,347,Touro_K,IATF,67.9,0,0,45,6.27,512.71,2190,365,0,2288.5499999999997,2846.2599999999998,-2846.2599999999998,-100.0
BOV-00024,Fazenda Boa Vista,Nelore,Primípara,4.0,3.7,59,473,Touro_A,IATF + Repasse,81.9,1,0,60,7.38,632.84,2182,59,2182,435.42,1128.26,1053.74,93.3951394182192
BOV-00025,Fazenda São José,Nelore,Multípara,7.7,4.0,150,399,Touro_G,IATF,77.4,0,0,45,8.44,426.05,2249,365,0,3080.6,3551.65,-3551.65,-100.0
BOV-00026,Fazenda Esperança,Nelore,Multípara,6.6,3.9,89,395,Touro_G,TE,67.1,1,0,180,7.42,396.13,1996,89,1996,660.38,1236.51,759.49,61.42206694648649
BOV-00027,Fazenda Santa Helena,Angus,Primípara,3.7,5.5,88,460,Touro_F,IATF,69.1,1,0,45,9.64,462.02,2314,88,2314,848.32,1355.3400000000001,958.6599999999999,70.73206723036284
BOV-00028,Fazenda São José,Hereford,Multípara,11.0,7.3,51,492,Touro_D,IATF + Repasse,78.5,1,0,60,8.37,501.3,2590,51,2590,426.86999999999995,988.17,1601.83,162.10065069775445
BOV-00029,Fazenda São José,Nelore,Novilha,2.8,5.5,0,367,Touro_E,IATF + Repasse,71.8,1,0,60,7.33,341.48,1844,0,1844,0.0,401.48,1442.52,359.3005878250473
BOV-00030,Fazenda Santa Helena,Angus,Multípara,4.9,6.3,44,551,Touro_A,IATF,64.2,1,0,45,10.76,592.43,3037,44,3037,473.44,1110.87,1926.13,173.38932548363
BOV-00031,Fazenda São José,Brangus,Novilha,2.1,4.8,0,440,Touro_B,Monta Natural,82.5,1,0,15,8.69,385.9,2429,0,2429,0.0,400.9,2028.1,505.88675480169616
BOV-00032,Fazenda Santa Helena,Angus,Novilha,2.2,6.1,0,368,Touro_J,IATF,70.5,1,0,45,8.83,370.94,2733,0,2733,0.0,415.94,2317.06,557.065922969659
BOV-00033,Fazenda Santa Helena,Brangus,Multípara,11.8,6.3,53,499,Touro_G,Monta Natural,72.2,1,0,15,10.61,460.38,3012,53,3012,562.3299999999999,1037.71,1974.29,190.25450270306732
