id_animal,fazenda,raca,categoria,idade_anos,ecc,dpp,peso_kg,touro,protocolo,thi,resultado_prenhez,perda_gestacional,custo_protocolo,custo_manutencao_dia,custo_nutricional,valor_bezerro,dias_abertos
BOV-00001,Fazenda Boa Vista,Nelore,Novilha,2.0,6.8,0,355,Touro_L,IATF + Repasse,60.6,0,0,60,5.8,291.87,2158,365
BOV-00002,Fazenda Nova Aliança,Senepol,Primípara,4.4,5.1,78,455,Touro_A,TE,70.0,1,0,180,10.54,385.37,2647,78
BOV-00003,Fazenda Esperança,Brangus,Novilha,2.4,5.0,0,361,Touro_A,IATF,83.8,0,0,45,8.53,322.01,2447,365
BOV-00004,Fazenda São José,Brangus,Novilha,2.7,6.1,0,478,Touro_B,Monta Natural,70.0,0,0,15,6.61,564.84,3180,365
BOV-00005,Fazenda Santa Helena,Senepol,Multípara,6.1,5.8,73,518,Touro_F,IATF + Repasse,70.2,1,0,60,8.78,491.06,2435,73
BOV-00006,Fazenda Santa Helena,Nelore,Novilha,1.8,6.6,0,393,Touro_A,Monta Natural,69.1,1,0,15,9.57,548.1,2193,0
BOV-00007,Fazenda Santa Helena,Hereford,Primípara,4.1,6.4,87,465,Touro_G,IATF,75.7,0,0,45,8.54,380.86,2646,365
BOV-00008,Fazenda Nova Aliança,Angus,Multípara,9.5,5.4,68,560,Touro_K,IATF + Repasse,78.4,1,0,60,8.38,706.52,2795,68
BOV-00009,Fazenda São José,Hereford,Multípara,9.4,8.0,64,458,Touro_L,Monta Natural,68.1,1,0,15,8.96,395.1,2537,64
BOV-00010,Fazenda Esperança,Nelore,Novilha,2.3,4.6,0,307,Touro_D,TE,63.0,1,0,180,7.04,436.94,2563,0
BOV-00011,Fazenda Santa Helena,Senepol,Multípara,8.5,6.0,106,419,Touro_G,IATF,70.0,1,0,45,7.24,347.27,2906,106
BOV-00012,Fazenda Nova Aliança,Nelore,Multípara,9.9,4.5,30,380,Touro_D,IATF + Repasse,68.9,1,0,60,7.59,342.05,2375,30
BOV-00013,Fazenda Esperança,Nelore,Novilha,1.9,4.5,0,345,Touro_K,IATF,70.7,0,0,45,5.15,343.06,2205,365
BOV-00014,Fazenda Santa Helena,Brangus,Primípara,3.2,4.8,103,442,Touro_D,IATF,79.2,0,0,45,10.29,384.73,2458,365
BOV-00015,Fazenda Santa Helena,Nelore,Multípara,11.0,3.8,52,428,Touro_D,Monta Natural,65.9,1,0,15,8.52,615.49,2062,52
BOV-00016,Fazenda Santa Helena,Brangus,Multípara,6.5,5.3,74,460,Touro_J,Monta Natural,74.5,1,0,15,7.21,410.62,3261,74
BOV-00017,Fazenda Boa Vista,Angus,Multípara,8.4,5.5,51,485,Touro_L,Monta Natural,74.6,1,0,15,7.04,416.18,2692,51
